Time (milliseconds),memory
4,201355264
1002,211775488
2003,211775488
3002,211775488
4003,211775488
5003,211775488
6002,211775488
7002,211775488
8003,211775488
9002,211775488
10002,211775488
11003,210939904
12003,210939904
13003,210939904
14003,210939904
15002,210939904
16002,210939904
17003,210939904
18003,210939904
19002,210939904
20002,210939904
21003,210939904
22002,210939904
23002,210939904
24003,210939904
25003,210939904
26002,210939904
27002,210939904
28002,210939904
29002,210939904
30003,210939904
31002,212549632
32002,212373504
33002,212373504
34003,212373504
35003,212373504
36003,212373504
37003,212373504
38002,212373504
39003,212373504
40003,212373504
41002,212340736
42003,212340736
43003,212340736
44003,212340736
45003,212340736
46003,212340736
47002,212340736
48003,212340736
49003,212340736
50003,212340736
51002,212340736
52002,212340736
53003,212340736
54002,212340736
55002,212340736
56003,212340736
57002,212340736
58003,212340736
59002,212340736
60003,212340736
61003,214216704
62003,214114304
63003,214114304
64002,214114304
65002,214114304
66002,214044672
67002,214044672
68003,214044672
69003,214044672
70003,214044672
71002,214028288
72002,214028288
73002,214028288
74002,214028288
75002,214028288
76003,214028288
77003,214028288
78003,214028288
79003,214028288
80002,214028288
81002,214028288
82002,214028288
83002,214028288
84002,214028288
85003,214028288
86002,214028288
87002,214028288
88003,214028288
89002,214028288
90002,214028288
91002,214028288
92002,214028288
93003,214028288
94003,214028288
95003,214028288
96002,214028288
97002,214028288
98002,214028288
99002,214028288
100003,214028288
101003,214028288
102002,214028288
103003,214028288
104002,214028288
105002,214028288
106002,214028288
107002,214028288
108002,214028288
109003,214028288
110002,214028288
111002,214028288
112003,214028288
113003,214028288
114002,214028288
115002,214028288
116003,214028288
117003,214028288
118002,214028288
119003,214028288
120002,214028288
121003,214028288
122001,214028288
123002,214028288
124002,214028288
125002,214028288
126003,214028288
127003,214028288
128003,214028288
129003,214028288
130002,214028288
131002,214028288
132003,214028288
133002,214028288
134003,214028288
135002,214028288
136002,214028288
137002,214028288
138003,214028288
139002,214028288
140002,214028288
141002,214028288
142002,214028288
143002,214028288
144003,214028288
145003,214028288
146003,214028288
147002,214028288
148002,214028288
149002,214028288
150003,214028288
151001,214028288
152002,214028288
153002,214028288
154002,214028288
155003,214028288
156003,214028288
157003,214028288
158002,214028288
