ts,value
1614895761505,17
1614895762506,24
1614895763505,24
1614895764506,24
1614895765506,24
1614895766505,24
1614895767506,24
1614895768506,24
1614895769506,24
1614895770506,24
1614895771506,24
1614895772506,24
1614895773506,24
1614895774506,24
1614895775506,24
1614895776506,24
1614895777506,24
1614895778506,24
1614895779505,24
1614895780506,24
1614895781506,24
1614895782506,24
1614895783505,24
1614895784505,24
1614895785506,24
1614895786506,24
1614895787505,24
1614895788505,24
1614895789506,24
1614895790506,24
1614895791506,24
1614895792506,24
1614895793506,24
1614895794506,24
1614895795505,24
1614895796505,24
1614895797506,24
1614895798506,24
1614895799506,24
1614895800506,24
1614895801506,24
1614895802506,24
1614895803506,24
1614895804506,24
1614895805506,24
1614895806506,24
1614895807506,24
1614895808506,24
1614895809506,24
1614895810506,24
1614895811505,24
1614895812506,24
1614895813505,24
1614895814506,24
1614895815505,24
1614895816506,24
1614895817506,24
1614895818506,24
1614895819506,24
1614895820506,24
1614895821505,24
1614895822506,24
1614895823506,24
1614895824506,24
1614895825506,24
1614895826506,24
1614895827506,24
1614895828506,24
1614895829506,24
1614895830507,24
1614895831506,24
1614895832506,24
1614895833506,24
1614895834506,24
1614895835505,24
1614895836505,24
1614895837506,24
1614895838506,24
1614895839505,24
1614895840505,24
1614895841505,24
1614895842507,24
1614895843506,24
1614895844508,24
1614895845505,24
1614895846507,24
1614895847506,24
1614895848507,24
1614895849506,24
1614895850508,24
1614895851505,24
1614895852507,24
1614895853506,24
1614895854507,24
1614895855506,24
1614895856506,24
1614895857506,24
1614895858506,24
1614895859506,24
1614895860506,24
1614895861506,24
1614895862506,24
1614895863506,24
1614895864506,24
1614895865506,24
1614895866506,24
1614895867505,24
1614895868506,24
1614895869506,24
1614895870505,24
1614895871506,24
1614895872506,24
1614895873506,24
1614895874506,24
1614895875506,24
1614895876506,24
1614895877505,24
1614895878506,24
1614895879505,24
1614895880506,24
1614895881505,24
1614895882506,24
1614895883506,24
1614895884506,24
1614895885505,24
1614895886506,24
1614895887506,24
1614895888506,24
1614895889506,24
1614895890506,24
1614895891506,24
1614895892506,24
1614895893505,24
1614895894506,24
1614895895506,24
1614895896505,24
1614895897506,24
1614895898506,24
1614895899507,24
1614895900505,24
1614895901506,24
1614895902506,24
1614895903506,24
1614895904505,24
1614895905505,24
1614895906506,24
1614895907506,24
1614895908506,24
1614895909506,24
1614895910505,24
1614895911506,24
1614895912506,24
1614895913506,24
1614895914505,24
1614895915506,24
1614895916506,24
1614895917506,24
1614895918506,24
1614895919506,24
1614895920506,24
1614895921505,24
1614895922506,24
1614895923506,24
1614895924506,24
1614895925506,24
1614895926506,24
1614895927506,24
1614895928506,24
1614895929506,24
1614895930505,24
1614895931506,24
1614895932506,24
1614895933506,24
1614895934505,24
1614895935505,24
1614895936506,24
1614895937506,24
1614895938506,24
1614895939506,24
1614895940506,24
1614895941505,24
1614895942505,24
1614895943506,24
1614895944505,24
1614895945506,24
1614895946505,24
1614895947506,24
1614895948506,24
1614895949505,24
1614895950506,24
1614895951506,24
1614895952505,24
1614895953505,24
1614895954506,24
1614895955506,24
1614895956506,24
1614895957506,24
1614895958506,24
1614895959506,24
1614895960506,24
1614895961506,24
1614895962505,24
