ts,value
1614895761505,165646336
1614895762507,176525312
1614895763507,176439296
1614895764507,176439296
1614895765508,176439296
1614895766506,176439296
1614895767507,176439296
1614895768507,176439296
1614895769507,176439296
1614895770507,176439296
1614895771508,176439296
1614895772507,176029696
1614895773507,176029696
1614895774507,176029696
1614895775508,176029696
1614895776507,176029696
1614895777507,176029696
1614895778507,176029696
1614895779506,176029696
1614895780507,176029696
1614895781507,176029696
1614895782507,176029696
1614895783507,176029696
1614895784506,176029696
1614895785507,176029696
1614895786507,176029696
1614895787507,176029696
1614895788506,176029696
1614895789508,176029696
1614895790507,176029696
1614895791507,176029696
1614895792507,181567488
1614895793507,181567488
1614895794507,181391360
1614895795507,181391360
1614895796506,181391360
1614895797508,181391360
1614895798507,181391360
1614895799508,181391360
1614895800507,181391360
1614895801507,181391360
1614895802507,181358592
1614895803507,181358592
1614895804507,181358592
1614895805506,181358592
1614895806507,181358592
1614895807507,181358592
1614895808506,181358592
1614895809506,181358592
1614895810506,181358592
1614895811507,181358592
1614895812507,181358592
1614895813506,181358592
1614895814506,181358592
1614895815507,181358592
1614895816507,181358592
1614895817507,181358592
1614895818507,181358592
1614895819507,181358592
1614895820507,181358592
1614895821507,181358592
1614895822507,185856000
1614895823506,185790464
1614895824506,185778176
1614895825506,185745408
1614895826507,185745408
1614895827507,185745408
1614895828507,185745408
1614895829507,185745408
1614895830507,185745408
1614895831507,185745408
1614895832507,185712640
1614895833508,185712640
1614895834508,185712640
1614895835507,185712640
1614895836506,185712640
1614895837507,185712640
1614895838507,185712640
1614895839506,185712640
1614895840506,185712640
1614895841507,185712640
1614895842506,185712640
1614895843508,185712640
1614895844507,185712640
1614895845507,185712640
1614895846507,185712640
1614895847506,185712640
1614895848507,185712640
1614895849507,185712640
1614895850507,185712640
1614895851506,185712640
1614895852506,185712640
1614895853508,185712640
1614895854507,185712640
1614895855508,185712640
1614895856507,185712640
1614895857508,185712640
1614895858507,185712640
1614895859508,185712640
1614895860507,185712640
1614895861507,185712640
1614895862507,185712640
1614895863507,185712640
1614895864507,185712640
1614895865507,185712640
1614895866506,185712640
1614895867507,185712640
1614895868506,185712640
1614895869507,185712640
1614895870506,185712640
1614895871508,185712640
1614895872507,185712640
1614895873507,185712640
1614895874506,185712640
1614895875508,185712640
1614895876507,185712640
1614895877507,185712640
1614895878506,185712640
1614895879507,185712640
1614895880507,185712640
1614895881507,185712640
1614895882507,185712640
1614895883507,185712640
1614895884507,185712640
1614895885506,185712640
1614895886506,185712640
1614895887507,185712640
1614895888506,185712640
1614895889507,185712640
1614895890507,185712640
1614895891506,185712640
1614895892506,185712640
1614895893506,185712640
1614895894507,185712640
1614895895507,185712640
1614895896506,185712640
1614895897507,185712640
