timestamp,value
1616700415015,39
1616700416015,93
1616700417016,40
1616700418016,46
1616700419016,48
1616700420015,54
1616700421015,58
1616700422015,62
1616700423016,67
1616700424016,68
1616700425015,68
1616700426017,69
1616700427015,68
1616700428016,68
1616700429016,68
1616700430015,68
1616700431016,68
1616700432015,68
1616700433016,68
1616700434016,68
1616700435016,68
1616700436015,68
1616700437015,68
1616700438016,69
1616700439015,68
1616700440015,69
1616700441016,70
1616700442015,68
1616700443016,68
1616700444015,68
1616700445015,68
1616700446016,68
1616700447016,68
1616700448016,68
1616700449017,70
1616700450016,68
1616700451015,68
1616700452015,68
1616700453015,68
1616700454015,68
1616700455016,68
1616700456016,69
1616700457015,68
1616700458015,68
1616700459015,68
1616700460016,68
1616700461015,68
1616700462016,68
1616700463017,68
1616700464015,68
1616700465015,68
1616700466016,68
1616700467016,68
1616700468016,68
1616700469016,68
1616700470016,68
1616700471016,68
1616700472015,68
1616700473016,68
1616700474016,68
1616700475016,68
1616700476016,68
1616700477016,68
1616700478019,70
1616700479017,71
1616700480022,78
1616700481016,68
1616700482016,68
1616700483016,68
1616700484015,68
1616700485016,68
1616700486015,68
1616700487016,68
1616700488016,68
1616700489015,68
1616700490015,68
1616700491016,68
1616700492015,68
1616700493016,68
1616700494015,68
1616700495016,71
1616700496016,68
1616700497017,70
1616700498015,68
1616700499017,72
1616700500016,68
1616700501015,68
1616700502015,68
1616700503017,71
1616700504017,69
1616700505015,68
1616700506016,68
1616700507015,68
1616700508015,68
1616700509016,68
1616700510019,69
1616700511015,68
1616700512016,69
1616700513015,68
1616700514015,68
1616700515016,68
1616700516017,69
1616700517016,68
1616700518016,68
1616700519016,68
1616700520016,68
1616700521016,68
1616700522015,68
1616700523016,68
1616700524016,69
1616700525016,68
1616700526017,70
1616700527016,68
1616700528015,69
1616700529016,68
1616700530016,68
1616700531017,68
1616700532015,68
1616700533016,68
1616700534015,68
1616700535016,70
1616700536015,68
1616700537015,68
1616700538016,68
1616700539016,68
1616700540016,68
1616700541016,68
1616700542016,68
1616700543016,68
1616700544016,68
1616700545016,69
1616700546016,68
1616700547016,68
1616700548019,68
1616700549018,70
1616700550016,68
1616700551016,68
1616700552016,68
1616700553016,68
1616700554015,68
1616700555016,68
1616700556016,68
1616700557015,68
1616700558016,68
1616700559016,68
1616700560016,69
1616700561015,68
1616700562015,68
1616700563015,68
1616700564016,68
1616700565015,68
1616700566016,68
1616700567016,68
1616700568016,70
1616700569016,69
1616700570016,68
1616700571017,70
1616700572015,68
1616700573015,68
1616700574018,77
1616700575016,68
1616700576015,68
1616700577015,68
1616700578016,68
1616700579016,68
1616700580015,68
1616700581016,68
1616700582016,68
1616700583016,68
1616700584015,68
1616700585017,68
1616700586018,69
1616700587016,69
1616700588016,68
1616700589016,68
1616700590016,68
1616700591016,68
1616700592016,68
1616700593015,68
1616700594015,68
1616700595015,37
