Time (milliseconds),Memory
1614379441222,372736
1614379441722,3682304
1614379442223,4444160
1614379442722,4444160
1614379443222,4419584
1614379443723,4419584
1614379444223,4419584
1614379444723,4419584
1614379445223,4419584
1614379445724,4419584
1614379446222,4419584
1614379446722,4419584
1614379447222,4419584
1614379447723,4419584
1614379448223,4419584
1614379448723,4419584
1614379449223,4419584
1614379449723,4419584
1614379450223,4419584
1614379450723,4419584
1614379451223,4419584
1614379451722,4661248
1614379452222,0
