Time (milliseconds),Memory
1614276669691,159744
1614276670192,3334144
1614276670694,3760128
1614276671196,3760128
1614276671697,3760128
1614276672199,3760128
1614276672701,3760128
1614276673202,3760128
1614276673704,3760128
1614276674205,3760128
1614276674707,3760128
1614276675208,3760128
1614276675710,3760128
1614276676211,3760128
1614276676713,3760128
1614276677214,3760128
1614276677716,3760128
1614276678218,3760128
1614276678719,3760128
1614276679221,3760128
1614276679722,3878912
1614276680222,0
